cust_id,lookalikes
C0001,"[('C0069', 0.920523597485084), ('C0120', 0.8543213346203476), ('C0026', 0.83707087864658)]"
C0002,"[('C0031', 0.9271418800041623), ('C0178', 0.8873331502027139), ('C0189', 0.8830409593988524)]"
C0003,"[('C0195', 0.8415893542007566), ('C0166', 0.7426768003542663), ('C0164', 0.7202043442513205)]"
C0004,"[('C0065', 0.9341769001883241), ('C0075', 0.9180237164148997), ('C0012', 0.9048506622187142)]"
C0005,"[('C0197', 0.9296237603133329), ('C0085', 0.8923171104288177), ('C0007', 0.8719203003288984)]"
C0006,"[('C0185', 0.8907129719461822), ('C0196', 0.8199534730419271), ('C0074', 0.7860819169783768)]"
C0007,"[('C0085', 0.8987086980933489), ('C0005', 0.8719203003288984), ('C0140', 0.8199772329215314)]"
C0008,"[('C0093', 0.8800770381874926), ('C0106', 0.7541113317087601), ('C0145', 0.7482836413232593)]"
C0009,"[('C0032', 0.9621900314625533), ('C0083', 0.9615887840635785), ('C0043', 0.915598198322383)]"
C0010,"[('C0030', 0.9297277057037933), ('C0056', 0.9159087891083874), ('C0111', 0.8818728089402812)]"
C0011,"[('C0027', 0.8381371423881668), ('C0126', 0.7573674281073889), ('C0107', 0.7330708412411321)]"
C0012,"[('C0065', 0.9557349337740767), ('C0004', 0.9048506622187142), ('C0113', 0.8942934276364007)]"
C0013,"[('C0099', 0.9185512692688159), ('C0156', 0.914985967441892), ('C0141', 0.8788118772329528)]"
C0014,"[('C0097', 0.9828681344546875), ('C0151', 0.9768410489404226), ('C0060', 0.9764671995485277)]"
C0015,"[('C0095', 0.9799500130631853), ('C0131', 0.9576907447522748), ('C0036', 0.948063660960001)]"
C0016,"[('C0107', 0.788370327912794), ('C0117', 0.6640179932590458), ('C0153', 0.6629005243164833)]"
C0017,"[('C0075', 0.9178556169039613), ('C0004', 0.8742510726130297), ('C0122', 0.7976101197363767)]"
C0018,"[('C0068', 0.8836390512585706), ('C0087', 0.8701254962529767), ('C0051', 0.8567967068015013)]"
C0019,"[('C0191', 0.8239226319706404), ('C0118', 0.8203401840294411), ('C0186', 0.812783524275711)]"
C0020,"[('C0078', 0.9157148134339198), ('C0080', 0.8834404108529516), ('C0130', 0.8819467673029407)]"
